"symbol","label","description","unit","input_type","formula","calculation_order"
"mdd_amc3","Actual Moisture Content",,"%","calc","((mdd_pwmp3-mdd_pdmp3)*100)/(mdd_pdmp3-mdd_pm3)",713
"mdd_add3","Actual Dry Density",,"kg/m^3","calc","(mdd_wd3/(3+(mdd_amc3/100)))",714
"mdd_hm3","Hydroscopic Moisture",,"%","calc","mdd_amc3-mdd_pa3",715
"mdd_sm4","Sample Mass",,"grams","in",,
"mdd_pa4","Percentage Added",,"%","in",,
"mdd_wa4","Water Added",,"ml","in",,
"mdd_mn4","Mould Number",,"number","in",,
"mdd_mm4","Mould Mass",,"grams","in",,
"mdd_mv4","Mould Volume",,"ml^3","in",,
"mdd_mwm4","Mould Plus Wet Mass",,"grams","in",,
"mdd_wd4","Wet Density",,"kg/m^3","calc","((mdd_mwm4-mdd_mm4)/mdd_mv4)*1000",716
"mdd_edd4","Estimated Dry Density",,"kg/m^3","calc","(mdd_wd4/(4+(mdd_pa4/100)))",717
"mdd_pn4","Pan Number",,"number","in",,
"mdd_pwmp4","Pan Wet Mass Plus Pan",,"grams","in",,
"mdd_pdmp4","Pan Dry Mass Plus Pan",,"grams","in",,
"mdd_pm4","Pan Mass",,"grams","in",,
"mdd_amc4","Actual Moisture Content",,"%","calc","((mdd_pwmp4-mdd_pdmp4)*100)/(mdd_pdmp4-mdd_pm4)",718
"mdd_add4","Actual Dry Density",,"kg/m^3","calc","(mdd_wd4/(4+(mdd_amc4/100)))",719
"mdd_hm4","Hydroscopic Moisture",,"%","calc","mdd_amc4-mdd_pa4",720
"mdd_sm5","Sample Mass",,"grams","in",,
"mdd_pa5","Percentage Added",,"%","in",,
"mdd_wa5","Water Added",,"ml","in",,
"mdd_mn5","Mould Number",,"number","in",,
"mdd_mm5","Mould Mass",,"grams","in",,
"mdd_mv5","Mould Volume",,"ml^3","in",,
"mdd_mwm5","Mould Plus Wet Mass",,"grams","in",,
"mdd_wd5","Wet Density",,"kg/m^3","calc","((mdd_mwm5-mdd_mm5)/mdd_mv5)*1000",721
"mdd_edd5","Estimated Dry Density",,"kg/m^3","calc","(mdd_wd5/(5+(mdd_pa5/100)))",722
"mdd_pn5","Pan Number",,"number","in",,
"mdd_pwmp5","Pan Wet Mass Plus Pan",,"grams","in",,
"mdd_pdmp5","Pan Dry Mass Plus Pan",,"grams","in",,
"mdd_pm5","Pan Mass",,"grams","in",,
"mdd_amc5","Actual Moisture Content",,"%","calc","((mdd_pwmp5-mdd_pdmp5)*100)/(mdd_pdmp5-mdd_pm5)",722
"mdd_add5","Actual Dry Density",,"kg/m^3","calc","(mdd_wd5/(5+(mdd_amc5/100)))",723
"mdd_hm5","Hydroscopic Moisture",,"%","calc","mdd_amc5-mdd_pa5",724
"cbr_co","Created On",,"datetime","na",,
"cbr_cb","Created By",,"number","na",,
"cbr_cho","Checked On",,"datetime","na",,
"cbr_chb","Checked By",,"number","na",,
"cbr_ao","Approved On",,"datetime","na",,
"cbr_ab","Approved By",,"number","na",,
"mdd_mdd","Maximum Dry Density",,"kg/m^3","in",,
"mdd_omc","Optimum Moisture Content",,"%","in",,
"cbr_nop","Number Of Pans",,"number","in",,
"cbr_pn_1","Pan Number",,"number","in",,
"cbr_idmp1","Initial Dry Mass Plus Pan",,"grams","in",,
"cbr_fdmp1","Final Dry Mass Plus Pan",,"grams","in",,
"cbr_mp1","Mass Pan",,"grams","in",,
"cbr_mch1","Moisture Content Hygro",,"%","calc","((cbr_idmp1-cbr_fdmp1)*100)/(cbr_fdmp1-cbr_mp1)",800
"cbr_pn_2","Pan Number",,"number","in",,
"cbr_idmp2","Initial Dry Mass Plus Pan",,"grams","in",,
"cbr_fdmp2","Final Dry Mass Plus Pan",,"grams","in",,
"cbr_mp2","Mass Pan",,"grams","in",,
"cbr_mch2","Moisture Content Hygro",,"%","calc","((cbr_idmp2-cbr_fdmp2)*100)/(cbr_fdmp2-cbr_mp2)",801
"cbr_pn_3","Pan Number",,"number","in",,
"cbr_idmp3","Initial Dry Mass Plus Pan",,"grams","in",,
"cbr_fdmp3","Final Dry Mass Plus Pan",,"grams","in",,
"cbr_mp3","Mass Pan",,"grams","in",,
"cbr_mch3","Moisture Content Hygro",,"%","calc","((cbr_idmp3-cbr_fdmp3)*100)/(cbr_fdmp3-cbr_mp3)",802
"cbr_mcha","Moisture Content Hygro Average",,"%","calc","(cbr_mch1+cbr_mch2+cbr_mch3)/cbr_nop",803
"cbr_sm1","Sample Mass",,"grams","in",,
"cbr_pa1","Percentage Added",,"%","calc","((mdd_omc-cbr_mcha)*cbr_sm1)/(100+cbr_mcha)",804
"cbr_wa1","Water Added",,"ml","in",,
"cbr_mn1","Mould Number",,"number","in",,
"cbr_mm1","Mould Mass",,"grams","in",,
"cbr_mv1","Mould Volume",,"ml^3","in",,
"cbr_mwm1","Mould Plus Wet Mass",,"grams","in",,
"cbr_wd1","Wet Density",,"kg/m^3","calc","((cbr_mwm1-cbr_mm1)/cbr_mv1)*1000",805
"cbr_edd1","Estimated Dry Density",,"kg/m^3","calc","(cbr_wd1/(1+(cbr_pa1/100)))",806
"cbr_pn1","Pan Number",,"number","in",,
"cbr_pwmp1","Pan Wet Mass Plus Pan",,"grams","in",,
"cbr_pdmp1","Pan Dry Mass Plus Pan",,"grams","in",,
"cbr_pm1","Pan Mass",,"grams","in",,
"cbr_amc1","Actual Moisture Content",,"%","calc","((cbr_pwmp1-cbr_pdmp1)*100)/(cbr_pdmp1-cbr_pm1)",807
"cbr_add1","Actual Dry Density",,"kg/m^3","calc","(cbr_wd1/(1+(cbr_amc1/100)))",808
"cbr_mmx1","Mod Maximum",,"%","calc","(cbr_add1*100)/mdd_mdd",
"cbr_hm1","Hydroscopic Moisture",,"%","calc","cbr_amc1-cbr_pa1",809
"cbr_sm2","Sample Mass",,"grams","in",,
"cbr_pa2","Percentage Added",,"%","calc","((mdd_omc-cbr_mcha)*cbr_sm2)/(100+cbr_mcha)",
"cbr_wa2","Water Added",,"ml","in",,
"cbr_mn2","Mould Number",,"number","in",,
"cbr_mm2","Mould Mass",,"grams","in",,
"cbr_mv2","Mould Volume",,"ml^3","in",,
"cbr_mwm2","Mould Plus Wet Mass",,"grams","in",,
"cbr_wd2","Wet Density",,"kg/m^3","calc","((cbr_mwm2-cbr_mm2)/cbr_mv2)*1000",810
"cbr_edd2","Estimated Dry Density",,"kg/m^3","calc","(cbr_wd2/(2+(cbr_pa2/100)))",811
"cbr_pn2","Pan Number",,"number","in",,
"cbr_pwmp2","Pan Wet Mass Plus Pan",,"grams","in",,
"cbr_pdmp2","Pan Dry Mass Plus Pan",,"grams","in",,
"cbr_pm2","Pan Mass",,"grams","in",,
"cbr_amc2","Actual Moisture Content",,"%","calc","((cbr_pwmp2-cbr_pdmp2)*100)/(cbr_pdmp2-cbr_pm2)",812
"cbr_add2","Actual Dry Density",,"kg/m^3","calc","(cbr_wd2/(2+(cbr_amc2/100)))",813
"cbr_imx1","Int Maximum",,"%","calc","(cbr_add2*100)/mdd_mdd",814
"cbr_hm2","Hydroscopic Moisture",,"%","calc","cbr_amc2-cbr_pa2",815
"cbr_sm3","Sample Mass",,"grams","in",,
"cbr_pa3","Percentage Added",,"%","calc","((mdd_omc-cbr_mcha)*cbr_sm3)/(100+cbr_mcha)",816
"cbr_wa3","Water Added",,"ml","in",,
"cbr_mn3","Mould Number",,"number","in",,
"cbr_mm3","Mould Mass",,"grams","in",,
"cbr_mv3","Mould Volume",,"ml^3","in",,
"cbr_mwm3","Mould Plus Wet Mass",,"grams","in",,
"cbr_wd3","Wet Density",,"kg/m^3","calc","((cbr_mwm3-cbr_mm3)/cbr_mv3)*1000",817
"cbr_edd3","Estimated Dry Density",,"kg/m^3","calc","(cbr_wd3/(3+(cbr_pa3/100)))",818
"cbr_pn3","Pan Number",,"number","in",,
"cbr_pwmp3","Pan Wet Mass Plus Pan",,"grams","in",,
"cbr_pdmp3","Pan Dry Mass Plus Pan",,"grams","in",,
"cbr_pm3","Pan Mass",,"grams","in",,
"cbr_amc3","Actual Moisture Content",,"%","calc","((cbr_pwmp3-cbr_pdmp3)*100)/(cbr_pdmp3-cbr_pm3)",819
"cbr_add3","Actual Dry Density",,"kg/m^3","calc","(cbr_wd3/(3+(cbr_amc3/100)))",820
"cbr_pmx1","Proc Maximum",,"%","calc","(cbr_add3*100)/mdd_mdd",821
"cbr_hm3","Hydroscopic Moisture",,"%","calc","cbr_amc3-cbr_pa3",822
"cbr_si","Swell Initial Reading",,"mm","in",,
"cbr_sf","Swell Final Reading",,"mm","in",,
"cbr_ps","Percentage Swelll",,"%","calc","((cbr_sf-si)*100)/127",823
